Company Name,Financial stability,Claims processing time,Customer service reputation,Premium cost,Deductibles,Network of providers
Allstate,C,8,Good,70,408,Nationwide
Allstate,E,14,Good,113,201,Selected states
USAA,A,6,Average,75,582,Regional
Progressive,A,6,Average,126,219,Regional
Allstate,E,12,Average,97,683,Nationwide
USAA,D,12,Good,141,209,Nationwide
Allstate,A,9,Poor,58,779,Nationwide
USAA,A,11,Poor,103,643,Selected states
Geico,D,12,Poor,141,268,Regional
Progressive,B,10,Poor,117,311,Regional
State Farm,B,8,Average,136,417,Selected states
State Farm,B,8,Average,50,434,Nationwide
Geico,B,13,Good,72,299,Nationwide
Allstate,C,10,Average,74,505,Regional
Geico,E,5,Poor,103,473,Nationwide
Geico,D,13,Excellent,147,679,Nationwide
Allstate,A,11,Average,75,413,Regional
USAA,B,13,Poor,111,334,Regional
Geico,C,15,Excellent,90,548,Nationwide
State Farm,A,14,Poor,141,324,Nationwide
Allstate,E,14,Poor,66,659,Nationwide
USAA,D,15,Good,113,701,Nationwide
USAA,A,14,Poor,146,375,Regional
Geico,A,8,Good,141,374,Regional
Progressive,D,7,Poor,135,432,Selected states
State Farm,B,13,Good,57,595,Regional
Progressive,A,8,Good,147,424,Nationwide
Geico,E,10,Average,50,715,Selected states
USAA,C,15,Average,75,632,Regional
Geico,E,15,Good,72,384,Selected states
USAA,D,10,Average,97,743,Nationwide
State Farm,D,10,Good,145,435,Selected states
State Farm,C,14,Excellent,121,453,Nationwide
State Farm,C,7,Poor,86,715,Nationwide
Allstate,D,13,Average,83,776,Regional
Allstate,E,10,Average,140,586,Regional
Geico,C,14,Poor,50,757,Nationwide
Geico,A,6,Excellent,71,483,Selected states
Allstate,D,11,Poor,133,317,Regional
Allstate,C,13,Good,59,668,Nationwide
Progressive,D,12,Excellent,91,720,Regional
State Farm,A,6,Poor,55,769,Regional
USAA,A,10,Good,73,218,Nationwide
Progressive,B,12,Average,127,245,Nationwide
State Farm,B,7,Poor,149,449,Nationwide
USAA,E,8,Average,105,727,Selected states
Progressive,B,15,Poor,143,344,Nationwide
Geico,E,10,Poor,130,312,Nationwide
State Farm,C,5,Excellent,118,456,Selected states
Allstate,B,7,Average,96,479,Regional
Progressive,E,13,Excellent,149,442,Nationwide
Geico,B,9,Poor,100,360,Regional
Geico,B,11,Excellent,125,358,Selected states
Geico,A,14,Average,54,743,Nationwide
Progressive,C,12,Poor,116,448,Regional
USAA,A,9,Average,69,299,Selected states
USAA,B,8,Poor,66,585,Regional
State Farm,A,7,Average,88,659,Nationwide
State Farm,A,7,Poor,97,547,Selected states
State Farm,D,13,Good,61,550,Selected states
Allstate,D,15,Good,94,211,Selected states
Allstate,D,13,Average,140,454,Selected states
Allstate,A,11,Excellent,134,309,Selected states
USAA,D,7,Good,150,237,Selected states
State Farm,B,15,Excellent,116,657,Regional
USAA,E,7,Average,128,339,Regional
Geico,E,6,Average,132,614,Selected states
State Farm,A,10,Poor,70,474,Nationwide
Progressive,B,8,Good,129,606,Regional
State Farm,C,15,Poor,79,370,Selected states
Progressive,B,5,Excellent,118,402,Nationwide
Geico,E,15,Excellent,85,689,Nationwide
Geico,E,14,Average,111,781,Nationwide
State Farm,E,15,Good,144,403,Selected states
Progressive,D,8,Good,139,454,Nationwide
Progressive,C,12,Good,61,585,Nationwide
Geico,A,8,Good,130,403,Nationwide
Geico,A,11,Good,76,429,Nationwide
Allstate,C,15,Excellent,77,457,Regional
Allstate,D,12,Excellent,125,772,Nationwide
USAA,C,15,Excellent,77,351,Nationwide
Progressive,D,14,Good,71,515,Regional
Geico,E,10,Average,89,324,Regional
Geico,A,8,Poor,129,767,Nationwide
State Farm,D,10,Average,75,207,Nationwide
USAA,E,9,Excellent,93,350,Nationwide
Allstate,A,5,Excellent,128,475,Selected states
State Farm,B,14,Excellent,62,376,Nationwide
USAA,E,8,Average,149,278,Regional
State Farm,A,13,Excellent,125,619,Nationwide
USAA,A,9,Poor,84,694,Regional
Allstate,A,15,Average,66,780,Selected states
USAA,E,11,Good,118,798,Regional
USAA,D,13,Good,72,258,Selected states
Allstate,C,15,Good,50,230,Regional
State Farm,B,10,Poor,143,340,Regional
Geico,A,15,Poor,78,319,Nationwide
Allstate,D,6,Average,149,482,Regional
USAA,C,12,Excellent,59,552,Nationwide
Progressive,A,9,Average,138,314,Selected states
Progressive,B,12,Poor,143,571,Selected states
Geico,D,8,Poor,84,329,Regional
Geico,A,14,Average,100,433,Nationwide
State Farm,D,11,Average,128,751,Regional
Geico,E,14,Poor,93,454,Nationwide
State Farm,D,5,Poor,71,332,Regional
Progressive,C,15,Excellent,116,481,Selected states
State Farm,C,5,Average,148,692,Nationwide
Allstate,D,15,Excellent,113,736,Selected states
USAA,C,9,Excellent,131,239,Selected states
Geico,B,12,Excellent,101,285,Regional
Progressive,D,11,Average,94,201,Selected states
Progressive,E,12,Poor,134,225,Nationwide
Progressive,E,6,Average,105,249,Nationwide
Progressive,C,12,Average,60,459,Selected states
Geico,E,13,Good,58,341,Selected states
USAA,E,6,Average,145,742,Nationwide
Geico,A,6,Average,145,622,Selected states
Progressive,C,13,Good,133,291,Regional
Progressive,A,14,Average,94,665,Regional
Geico,A,13,Poor,72,363,Nationwide
State Farm,A,11,Poor,66,309,Regional
USAA,D,15,Good,136,281,Selected states
USAA,E,5,Average,103,376,Regional
USAA,A,9,Good,98,739,Selected states
USAA,C,7,Good,145,450,Nationwide
Progressive,C,13,Average,50,718,Regional
USAA,D,7,Average,74,592,Nationwide
Allstate,C,8,Excellent,118,342,Nationwide
Geico,B,12,Good,136,715,Regional
State Farm,E,12,Excellent,88,400,Regional
USAA,B,10,Excellent,120,728,Nationwide
Allstate,B,15,Average,141,467,Selected states
State Farm,A,11,Good,83,447,Regional
Allstate,D,9,Good,122,708,Nationwide
USAA,D,9,Good,103,531,Nationwide
Geico,D,11,Poor,145,469,Regional
Geico,A,11,Good,110,671,Nationwide
Allstate,C,9,Good,73,259,Selected states
State Farm,C,14,Poor,80,767,Nationwide
Allstate,B,15,Good,55,630,Nationwide
Geico,E,15,Excellent,72,542,Nationwide
State Farm,B,14,Poor,69,679,Selected states
USAA,B,10,Excellent,86,241,Regional
State Farm,E,11,Average,139,475,Regional
State Farm,C,7,Average,119,705,Selected states
Geico,D,7,Poor,149,608,Nationwide
Progressive,D,8,Good,57,322,Nationwide
Progressive,E,12,Excellent,55,736,Regional
Geico,C,7,Good,148,671,Nationwide
Progressive,A,13,Excellent,107,608,Regional
USAA,E,11,Average,104,695,Selected states
Allstate,B,12,Poor,106,740,Nationwide
Allstate,E,14,Excellent,114,381,Regional
Geico,C,15,Average,95,258,Regional
Progressive,C,14,Excellent,99,327,Nationwide
USAA,A,13,Poor,129,204,Selected states
Allstate,C,10,Poor,60,439,Nationwide
Geico,B,15,Excellent,125,247,Selected states
USAA,A,7,Poor,81,551,Selected states
Geico,C,9,Poor,124,423,Nationwide
State Farm,C,14,Poor,119,409,Selected states
Progressive,A,14,Excellent,105,424,Regional
Geico,A,7,Average,97,464,Regional
Allstate,B,13,Average,115,731,Regional
Geico,C,14,Good,120,546,Regional
State Farm,A,12,Poor,75,709,Nationwide
USAA,E,6,Average,83,765,Regional
USAA,E,6,Average,91,346,Nationwide
Progressive,E,13,Good,69,678,Selected states
State Farm,E,8,Excellent,69,366,Selected states
State Farm,D,12,Excellent,82,401,Regional
USAA,C,7,Good,67,497,Regional
Allstate,D,6,Excellent,100,390,Selected states
State Farm,E,11,Poor,138,740,Selected states
Geico,A,7,Poor,137,579,Nationwide
State Farm,B,6,Poor,123,698,Regional
Allstate,E,5,Poor,68,428,Nationwide
Allstate,C,6,Poor,130,234,Nationwide
Geico,C,9,Excellent,139,680,Selected states
State Farm,B,10,Excellent,113,364,Nationwide
USAA,C,5,Poor,60,450,Nationwide
State Farm,B,11,Poor,67,599,Nationwide
State Farm,A,9,Excellent,98,295,Selected states
Allstate,A,10,Good,72,536,Selected states
USAA,B,15,Poor,148,558,Nationwide
Allstate,D,7,Average,65,639,Selected states
Allstate,C,6,Average,75,589,Regional
State Farm,C,14,Average,139,310,Selected states
Progressive,B,5,Average,76,590,Selected states
State Farm,E,14,Average,99,377,Regional
Geico,E,5,Excellent,144,312,Selected states
Progressive,B,7,Poor,112,614,Selected states
Allstate,C,5,Poor,54,629,Regional
USAA,B,9,Good,150,241,Selected states
State Farm,B,9,Average,102,496,Nationwide
Progressive,B,13,Average,104,369,Regional
State Farm,E,15,Excellent,135,798,Nationwide
Geico,A,10,Excellent,141,618,Selected states
State Farm,E,14,Poor,52,266,Selected states
State Farm,A,15,Excellent,97,584,Selected states
Allstate,C,10,Good,57,753,Selected states
Allstate,A,14,Average,60,763,Regional
Allstate,B,15,Average,71,544,Regional
Allstate,B,12,Poor,78,464,Selected states
USAA,E,7,Average,101,672,Selected states
State Farm,B,8,Poor,115,267,Regional
Progressive,C,8,Excellent,51,509,Selected states
State Farm,B,9,Excellent,75,429,Nationwide
Geico,A,5,Good,115,295,Selected states
State Farm,D,10,Poor,93,763,Selected states
Progressive,B,10,Average,143,324,Nationwide
Allstate,C,9,Average,113,217,Selected states
Allstate,C,8,Poor,112,763,Nationwide
USAA,B,11,Average,108,215,Selected states
State Farm,C,5,Average,102,234,Regional
USAA,B,9,Average,115,622,Regional
State Farm,C,11,Good,136,392,Selected states
USAA,E,7,Poor,76,323,Nationwide
Progressive,A,9,Poor,57,592,Regional
Progressive,B,7,Good,68,771,Regional
Progressive,B,14,Excellent,101,303,Nationwide
State Farm,B,11,Average,137,504,Regional
Geico,D,12,Poor,83,748,Regional
Allstate,E,14,Average,87,642,Regional
Geico,E,7,Good,135,587,Selected states
Progressive,C,10,Average,91,392,Selected states
Geico,C,9,Good,51,469,Selected states
Allstate,A,11,Good,123,527,Regional
Progressive,D,15,Good,80,355,Selected states
Progressive,A,7,Good,126,332,Regional
Progressive,C,10,Good,147,796,Nationwide
USAA,C,12,Poor,68,795,Nationwide
Allstate,C,13,Good,124,464,Selected states
Progressive,B,9,Average,60,419,Nationwide
Progressive,D,15,Poor,114,349,Selected states
Progressive,E,8,Poor,67,307,Regional
Progressive,E,6,Average,104,421,Regional
Geico,A,14,Average,68,295,Regional
Allstate,D,11,Average,78,512,Nationwide
Allstate,C,15,Poor,66,616,Regional
Geico,B,15,Excellent,104,322,Nationwide
State Farm,B,12,Average,131,572,Regional
Geico,E,6,Average,119,557,Nationwide
State Farm,E,13,Poor,50,769,Regional
Allstate,D,7,Excellent,118,350,Regional
USAA,E,7,Good,99,332,Selected states
USAA,B,8,Good,115,670,Nationwide
Geico,A,8,Average,119,596,Selected states
USAA,D,6,Poor,100,347,Regional
USAA,D,10,Excellent,123,526,Regional
State Farm,D,6,Average,85,320,Nationwide
USAA,E,7,Poor,76,345,Selected states
USAA,D,15,Excellent,148,671,Regional
Allstate,A,10,Excellent,121,293,Selected states
Progressive,D,13,Poor,69,563,Nationwide
Allstate,A,6,Poor,76,369,Regional
USAA,A,9,Poor,110,793,Regional
USAA,E,15,Excellent,89,675,Regional
USAA,A,8,Poor,53,659,Nationwide
Progressive,D,5,Excellent,114,343,Regional
State Farm,A,13,Good,123,323,Selected states
Geico,B,5,Excellent,143,223,Selected states
Progressive,B,13,Poor,78,653,Regional
Geico,C,14,Poor,143,734,Regional
USAA,D,15,Poor,77,664,Regional
USAA,E,11,Excellent,114,759,Nationwide
Progressive,C,15,Good,128,727,Nationwide
Allstate,C,6,Average,131,216,Nationwide
Geico,A,7,Good,118,412,Nationwide
Geico,C,6,Poor,108,239,Nationwide
Allstate,E,9,Good,67,415,Selected states
State Farm,C,14,Poor,52,580,Selected states
State Farm,B,9,Excellent,131,569,Selected states
Allstate,D,7,Average,98,734,Regional
USAA,D,12,Excellent,123,344,Nationwide
Allstate,B,5,Good,93,687,Selected states
USAA,E,15,Poor,83,222,Nationwide
Allstate,D,9,Poor,69,280,Regional
Progressive,A,14,Excellent,89,374,Regional
Progressive,E,10,Poor,77,270,Selected states
State Farm,E,9,Poor,101,402,Regional
State Farm,C,5,Good,78,205,Regional
Geico,C,12,Excellent,123,476,Regional
State Farm,B,10,Average,83,530,Nationwide
Geico,E,7,Poor,67,753,Nationwide
State Farm,D,5,Poor,114,482,Nationwide
Allstate,C,9,Poor,67,629,Regional
Progressive,E,10,Good,134,330,Nationwide
Allstate,B,9,Excellent,110,285,Selected states
Geico,A,6,Excellent,98,271,Nationwide
Progressive,C,5,Good,144,605,Regional
Geico,D,7,Good,96,448,Nationwide
Allstate,D,6,Good,120,748,Selected states
State Farm,E,7,Good,66,484,Nationwide
State Farm,C,12,Good,116,406,Selected states
Allstate,D,5,Excellent,140,346,Selected states
USAA,A,14,Excellent,108,264,Selected states
Progressive,C,7,Good,101,255,Regional
Allstate,E,10,Excellent,148,262,Nationwide
State Farm,C,9,Excellent,133,223,Nationwide
Allstate,E,6,Poor,77,210,Regional
Allstate,D,14,Excellent,142,756,Regional
USAA,C,12,Good,135,432,Selected states
USAA,A,6,Average,61,236,Regional
State Farm,B,6,Excellent,74,516,Regional
USAA,A,5,Good,85,579,Selected states
State Farm,D,10,Excellent,128,760,Nationwide
State Farm,E,6,Good,88,282,Selected states
State Farm,C,6,Poor,94,678,Nationwide
Allstate,E,11,Excellent,103,262,Nationwide
Allstate,B,15,Poor,58,427,Selected states
USAA,C,13,Poor,148,294,Selected states
Geico,E,9,Excellent,62,242,Regional
USAA,B,13,Good,118,776,Nationwide
Geico,D,10,Average,61,703,Selected states
Progressive,E,10,Poor,89,360,Regional
State Farm,D,15,Good,122,547,Regional
Geico,A,5,Good,106,696,Nationwide
USAA,E,8,Poor,89,254,Nationwide
USAA,D,7,Average,131,685,Regional
Geico,B,6,Good,119,337,Selected states
Allstate,D,13,Good,72,599,Selected states
Geico,B,9,Average,110,499,Nationwide
USAA,E,14,Poor,87,412,Regional
Allstate,D,14,Excellent,127,778,Selected states
Allstate,C,8,Good,128,576,Nationwide
Progressive,B,11,Excellent,105,638,Nationwide
Progressive,A,7,Excellent,136,727,Nationwide
State Farm,C,13,Average,91,291,Nationwide
State Farm,A,10,Good,100,277,Selected states
State Farm,E,5,Good,90,654,Nationwide
Geico,C,5,Good,116,406,Regional
USAA,D,5,Poor,69,240,Selected states
State Farm,D,15,Poor,119,252,Nationwide
Allstate,C,7,Average,73,410,Nationwide
Allstate,C,10,Average,75,414,Regional
Progressive,B,14,Poor,124,470,Nationwide
Geico,D,11,Excellent,119,530,Nationwide
Progressive,B,15,Poor,79,752,Selected states
State Farm,E,5,Poor,147,387,Nationwide
State Farm,E,10,Poor,120,288,Selected states
Progressive,A,14,Average,83,430,Nationwide
Progressive,D,13,Good,120,575,Nationwide
Geico,A,6,Average,64,769,Selected states
USAA,B,11,Excellent,96,541,Regional
Geico,A,13,Excellent,94,705,Nationwide
Allstate,C,14,Average,54,646,Regional
USAA,B,14,Good,147,729,Regional
State Farm,A,5,Good,77,709,Nationwide
Allstate,C,14,Average,82,499,Regional
State Farm,B,8,Poor,75,433,Regional
Allstate,E,5,Poor,116,551,Selected states
USAA,B,7,Poor,73,350,Nationwide
State Farm,D,15,Average,103,608,Nationwide
State Farm,C,8,Good,135,278,Selected states
Geico,D,12,Poor,118,722,Regional
Geico,A,13,Good,65,466,Regional
Geico,C,7,Excellent,99,351,Selected states
Allstate,B,7,Excellent,98,373,Regional
USAA,D,5,Poor,74,782,Regional
State Farm,D,11,Poor,63,781,Selected states
State Farm,E,7,Excellent,93,290,Nationwide
Allstate,D,15,Good,91,319,Nationwide
USAA,E,12,Excellent,125,446,Nationwide
USAA,E,9,Poor,98,633,Nationwide
State Farm,E,7,Average,111,706,Selected states
Geico,C,11,Good,96,558,Regional
USAA,B,9,Average,74,713,Regional
USAA,D,12,Excellent,104,798,Selected states
Progressive,D,5,Average,61,468,Nationwide
USAA,E,11,Average,120,267,Selected states
USAA,E,13,Average,76,465,Nationwide
Geico,B,13,Excellent,88,290,Selected states
Progressive,E,8,Average,113,373,Nationwide
USAA,C,10,Poor,114,384,Nationwide
Allstate,B,13,Average,68,516,Nationwide
Allstate,D,15,Average,79,451,Selected states
Progressive,C,15,Excellent,90,749,Nationwide
State Farm,D,15,Average,150,216,Nationwide
Progressive,D,10,Average,139,258,Nationwide
Geico,D,6,Poor,145,617,Nationwide
USAA,E,14,Poor,123,248,Regional
Progressive,A,11,Poor,112,283,Nationwide
State Farm,E,9,Good,119,439,Regional
USAA,C,7,Poor,69,538,Selected states
Progressive,E,5,Good,82,668,Selected states
Allstate,C,10,Excellent,94,258,Regional
Progressive,A,13,Average,63,601,Nationwide
Progressive,C,15,Average,71,735,Nationwide
State Farm,D,12,Good,69,223,Regional
Allstate,C,7,Good,135,687,Selected states
Progressive,D,9,Excellent,144,777,Regional
State Farm,A,14,Good,64,636,Nationwide
Allstate,E,12,Good,80,771,Selected states
Progressive,A,14,Average,137,743,Selected states
USAA,B,13,Excellent,73,318,Nationwide
Allstate,E,11,Good,75,277,Regional
Progressive,B,14,Good,108,205,Regional
Allstate,B,10,Good,108,238,Selected states
USAA,D,14,Poor,96,327,Nationwide
Geico,D,6,Average,127,454,Nationwide
State Farm,C,13,Poor,62,579,Selected states
Geico,C,9,Excellent,55,488,Selected states
State Farm,A,6,Good,116,711,Nationwide
USAA,A,13,Poor,82,798,Nationwide
State Farm,C,14,Poor,114,766,Regional
USAA,B,9,Excellent,63,377,Regional
State Farm,B,6,Excellent,110,388,Regional
USAA,E,11,Poor,120,635,Nationwide
Progressive,A,14,Good,113,415,Nationwide
State Farm,C,12,Average,110,394,Nationwide
Geico,A,13,Average,147,406,Selected states
Allstate,C,6,Good,93,425,Nationwide
State Farm,C,8,Average,124,665,Regional
Progressive,D,10,Average,105,457,Regional
USAA,B,13,Excellent,55,550,Nationwide
Geico,B,5,Excellent,90,381,Regional
Allstate,E,9,Good,63,700,Selected states
State Farm,C,6,Excellent,98,591,Regional
USAA,B,10,Poor,80,206,Regional
USAA,D,14,Average,150,569,Regional
Allstate,B,14,Poor,134,729,Regional
Progressive,E,11,Excellent,112,794,Regional
USAA,C,9,Excellent,128,779,Nationwide
Geico,D,11,Good,61,613,Regional
Geico,E,6,Average,111,774,Nationwide
Geico,D,12,Excellent,86,682,Selected states
Progressive,A,5,Poor,92,729,Nationwide
Geico,B,8,Good,64,648,Regional
Geico,B,6,Poor,70,258,Nationwide
USAA,E,14,Excellent,127,566,Selected states
USAA,A,14,Average,54,372,Regional
Allstate,D,15,Excellent,56,443,Nationwide
Geico,A,7,Average,150,533,Nationwide
Geico,C,7,Excellent,147,213,Regional
State Farm,A,8,Good,127,314,Nationwide
State Farm,E,14,Good,103,219,Selected states
Allstate,E,10,Poor,129,426,Regional
Allstate,C,12,Good,147,776,Regional
State Farm,B,12,Poor,131,751,Nationwide
Geico,E,6,Good,140,309,Regional
State Farm,D,6,Average,88,377,Regional
State Farm,C,5,Poor,83,717,Regional
USAA,A,12,Good,89,266,Selected states
Geico,B,8,Good,138,359,Nationwide
State Farm,E,9,Poor,79,360,Nationwide
Geico,E,6,Poor,58,343,Regional
USAA,C,5,Excellent,99,405,Selected states
Allstate,D,8,Good,84,599,Nationwide
Allstate,B,5,Poor,101,694,Nationwide
State Farm,C,13,Poor,149,501,Selected states
State Farm,B,7,Average,54,212,Regional
Allstate,A,9,Good,138,650,Selected states
Geico,C,9,Poor,106,680,Regional
Geico,B,11,Good,85,714,Selected states
State Farm,D,13,Average,82,579,Regional
Geico,A,11,Good,65,572,Regional
State Farm,E,8,Average,108,582,Nationwide
State Farm,A,15,Average,87,214,Regional
Geico,D,13,Good,80,363,Selected states
Allstate,C,12,Excellent,87,538,Regional
State Farm,B,13,Poor,133,718,Nationwide
Progressive,B,15,Excellent,66,215,Selected states
Geico,A,7,Poor,136,758,Selected states
Allstate,A,13,Excellent,148,273,Nationwide
Progressive,D,15,Poor,51,657,Regional
Geico,E,7,Excellent,144,447,Selected states
Geico,D,15,Average,103,661,Nationwide
Geico,E,6,Good,52,628,Nationwide
USAA,A,5,Excellent,117,582,Nationwide
USAA,D,7,Excellent,133,222,Nationwide
USAA,C,8,Good,112,375,Regional
Allstate,A,6,Poor,88,264,Nationwide
State Farm,D,13,Poor,127,786,Selected states
